,Cluster1_0,Cluster1_1,Cluster1_2,Cluster2_0,Cluster2_1,Cluster2_2,Comment
191,-16.9635054734467,-19.9596039834723,-22.9557024934978,-13.3708975313265,-16.6390709624373,-19.9072443935481,
192,-16.829800563997,-20.0367182112883,-23.2436358585796,-12.0228738556676,-15.1343911392058,-18.245908422744,
193,-14.3052092861211,-17.566385184461,-20.8275610828009,-8.97873833373993,-11.9157448323504,-14.8527513309608,
194,-10.7751990437833,-13.9737133598311,-17.1722276758789,-6.01978500111606,-8.66107872287694,-11.3023724446378,
195,-8.30677144150799,-11.5014190590074,-14.6960666765068,-4.85671533324783,-7.16901908613564,-9.48132283902346,
196,-9.05006373209496,-12.0371792140152,-15.0242946959355,-7.2209035120332,-9.2602309528985,-11.2995583937638,
197,-13.4115863638885,-16.0975349828433,-18.7834836017981,-12.7246803082882,-14.6635060249105,-16.6023317415327,
198,-19.9746214716978,-22.1595174512601,-24.3444134308225,-19.8233224043995,-21.4828554634191,-23.1423885224387,
199,-26.5700508874522,-28.4658142741423,-30.3615776608325,-26.1494940611233,-27.9269285119774,-29.7043629628314,
200,-29.5361290278935,-31.2377030554435,-32.9392770829934,-29.9604622304849,-31.7129058102182,-33.4653493899514,
201,-28.6530595025442,-30.2834100944124,-31.9137606862806,-29.054828603328,-30.7998236646537,-32.5448187259793,
202,-23.8481138063743,-25.4298694186455,-27.0116250309168,-24.3759207962319,-26.2748413375188,-28.1737618788057,
203,-16.9369510894429,-18.3991405137071,-19.8613299379713,-17.6319450826681,-19.984503456755,-22.337061830842,
204,-10.5898337668206,-12.1875428586685,-13.7852519505164,-12.2517344400784,-14.7537664128875,-17.2557983856966,
205,-6.75525836556441,-8.61219837407961,-10.4691383825948,-8.97454124047854,-11.8313850516007,-14.6882288627229,
206,-6.39424715012736,-8.52384695162403,-10.6534467531207,-8.79361433994411,-11.9218077953556,-15.0500012507671,
207,-9.12497348358695,-11.7889293304039,-14.4528851772208,-10.5302621369684,-14.0224314054082,-17.514600673848,
208,-13.0741044902928,-15.9144559793255,-18.7548074683581,-13.6072532284759,-16.7715225511455,-19.9357918738151,
209,-14.4567726163308,-17.685098707239,-20.9134247981471,-15.7636577861899,-18.869941787577,-21.9762257889641,
210,-12.9679662361209,-16.0982976283781,-19.2286290206353,-15.8050204283921,-19.1368704561415,-22.4687204838909,
211,-9.76178928357446,-12.6032239802484,-15.4446586769223,-13.2971827786805,-16.6499764445068,-20.002770110333,
