file,center_1,center_2,center_3,center_4,center_5,center_6,Comment
96,-7.300644413295837,-2.498701620883507,2.460347997556606,-8.283686331613971,-3.3965045072637405,1.5337514318471632,Check!!!
97,-5.751138985289371,-1.2800144188535756,3.585170822246491,-9.17110210176781,-4.360723226961601,0.2544224154664773,Check!!!
98,-0.7170904013687089,3.14352964895661,7.4440873598368915,-14.795741380385376,-10.07568684837944,-5.243874598326956,Check!!!
99,5.108424322234278,7.646235065237444,10.7743438004728,-21.397576182824835,-17.45847062355859,-13.170594374453408,Check!!!
100,9.048820189219269,10.290322779030108,11.952285335793126,-26.98864373040667,-24.216599884660802,-20.912405451625904,Check!!!
101,11.173019684751166,10.626469108912142,9.972268321126105,-30.912542929331952,-29.394059380256927,-27.40704206817609,
102,7.356541625656079,8.466847426025026,9.927946573159375,-31.213489729609652,-31.755057838921665,-32.263493569859506,
103,1.8479784872120093,4.099380911133136,6.546800981853314,-32.55816173529415,-31.759262935431842,-30.703500007915583,
104,-5.010553920476684,-2.080440541331448,1.017467572000516,-30.865098519334396,-28.930083369780277,-26.76392791696681,
105,-12.280374283677798,-9.132479778124573,-5.871206528159846,-26.8213545021794,-24.03073530580247,-21.176684679020042,Check!!!
106,-16.263103409210387,-14.911077173014153,-13.289064065464418,-21.272669422512745,-19.171866387637504,-18.134620027696787,
107,-24.096647468061267,-22.156853392060857,-19.8102511466109,-14.455449939607094,-11.450688144565522,-8.246223914401442,Check!!!
108,-27.165915959107707,-26.409860646658657,-25.23928897173644,-7.789847079490615,-5.3908512255349175,-2.7523444607838163,Check!!!
109,-27.59676780462419,-28.212274651179072,-28.7240850340799,-1.4308741134222143,-0.14341292164885452,1.5433687942009076,
110,-29.673757924057966,-28.268470726116956,-26.214653574935912,4.696260020539735,4.171946333389051,3.6024871990515415,
111,-28.597629111359435,-25.80538099351412,-22.506084863344125,7.879957218865973,6.70454516631364,5.7780122449157165,Check!!!
112,-25.54452912599675,-21.61227538564827,-17.350114825837494,5.105260406006764,7.312036330903579,9.881911034426906,Check!!!
113,-20.696026565582418,-16.08783367313271,-11.179401220577056,9.727860223831257,6.109298264412053,2.7531157327733258,Check!!!
114,-4.663782416416272,-9.791045995000367,-14.64315875114733,-1.5249323635331198,2.7031119194899462,7.0445231864646525,Check!!!
115,-7.186678116021488,-2.624013182159982,2.2404431543281476,-8.127632282568673,-3.5830406496250276,1.313224004323568,Check!!!
116,-0.9789307510372415,2.6600116142115025,6.717508631635109,-14.135932139299797,-9.807086086303537,-5.119271528875456,Check!!!
117,4.938411228784318,7.512205043108718,10.323627746818545,-21.027123638801037,-17.230420681497822,-13.21476403785217,Check!!!
118,9.2879656139583,10.489144551310922,11.932621075735362,-27.06272422100312,-24.36851789932814,-21.281856343742366,
119,11.162005881769756,10.592532158491085,9.69139877144447,-30.645140681096418,-29.259482017413454,-27.316767182841197,
120,7.584168005665051,8.785994916632264,10.228471387004332,-32.77369642535466,-31.89766460232451,-31.292447464538977,
121,2.1223147163059015,4.4341653490865705,6.856380514775692,-32.38135904933534,-31.439443319741258,-30.25973202646198,
122,-4.7917246703621705,-1.7979214549141278,1.2806262593993354,-30.608082662672064,-28.578859810698937,-26.350093634146937,Check!!!
123,-11.953760007209153,-8.825719314884543,-5.5520393427274515,-26.58069910356484,-23.705377854921085,-20.79889512850682,Check!!!
124,-15.709287997662567,-14.59236884725301,-12.800592195440661,-21.00871077953655,-18.507508353530483,-17.722195311698723,
125,-23.645364416042188,-21.614434275481507,-19.33921455108982,-14.377053308522205,-11.441108152761048,-8.273864567522828,Check!!!
126,-26.29523757596511,-25.596332918117092,-24.511191260296844,-7.830793240861357,-5.584951388823948,-2.898242606957761,Check!!!
127,-27.890339706285346,-27.320382125241412,-26.671306303551358,-1.5778128352063023,-0.4183861493341653,1.20209677143841,
128,-28.73636127189183,-27.230578315676894,-25.03222993106747,4.311212254389293,3.7835797133113926,3.2335230872328298,
129,-27.790402440510782,-24.72225217338755,-21.290765178576674,5.198008606990068,6.277507837755362,7.585811562975106,Check!!!
130,-24.780698702433043,-20.686913592329027,-16.27107326651957,4.600030324408772,6.981128367754783,9.71168123973616,Check!!!
131,-9.973509580883547,-15.053549279493161,-19.932002175674572,2.0302791510155536,5.6264887289710765,9.505287360969868,
132,-14.054699682871915,-8.983416607869664,-3.6993758318422985,7.012325861049543,2.4002230193490344,-2.066640532918438,Check!!!
133,-7.315952771278038,-2.5578923210990063,2.4547706055987204,-8.262443710156107,-3.466158146510392,1.5589774764295918,
