"angle","fre_sum","freq_diff","freq_1D","freq_2D"
0,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
3.6,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
7.2,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
10.8,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
14.4,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
18,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
21.6,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
25.2,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
28.8,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
32.4,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
36,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
39.6,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
43.2,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
46.8,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
50.4,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
54,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
57.6,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
61.2,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
64.8,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
68.4,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
72,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
75.6,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
79.2,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
82.8,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
86.4,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
90,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
93.6,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
97.2,36471.8532275725,1257938.33691153,647205.095069553,-610733.24184198
