"angle","Frequency"
0,1249875
3.6,1257932.34350182
7.2,1281990.17942096
10.8,1321669.19573962
14.4,1376343.73119861
18,1445151.63588577
21.6,1527007.86068506
25.2,1620621.561712
28.8,1724516.45046932
32.4,1837054.06928057
36,1956459.62540465
39.6,2080849.97683
43.2,2208263.32873175
46.8,2336690.17249103
50.4,2464104.97945497
54,2588498.14957781
57.6,2707907.71092553
61.2,2820450.26982364
64.8,2924350.72312723
68.4,3017970.26351892
72,3099832.2355927
75.6,3168645.43434169
79.2,3223324.47800447
82.8,3263006.93340185
86.4,3287066.92318468
90,3295125
93.6,3287054.13158609
97.2,3262981.70228841
100.8,3223287.49946981
104.4,3168597.71676769
108,3099775.06911731
111.6,3017905.17591216
115.2,2924279.42763207
118.8,2820374.60680193
122.4,2707829.58536689
126,2588419.46667462
129.6,2464027.58051366
133.2,2336615.77343657
136.8,2208193.46336924
140.4,2080785.94685721
144,1956402.45892926
147.6,1837004.48929343
151.2,1724474.85437114
154.8,1620588.01259856
158.4,1526982.09067852
162,1445133.06137195
165.6,1376331.47940798
169.2,1321662.14170687
172.8,1281986.99199008
176.4,1257931.53872265
180,1249875
183.6,1257944.33032125
187.2,1282012.22310352
190.8,1321699.12024152
194.4,1376379.19698198
198,1445190.22784735
201.6,1527047.17828529
205.2,1620659.30809373
208.8,1724550.51739285
212.4,1837082.61485207
216,1956481.14183245
219.6,2080863.34579853
223.2,2208267.86242371
226.8,2336685.63879909
230.4,2464091.61048647
234,2588476.63315002
237.6,2707879.16535404
241.2,2820416.20290012
244.8,2924312.97674551
248.4,3017930.94591871
252,3099793.64363114
255.6,3168609.96855832
259.2,3223294.55350256
262.8,3262984.88971929
266.4,3287054.93636526
270,3295125
273.6,3287067.72796385
277.2,3263010.12083273
280.8,3223331.53203722
284.4,3168657.68613232
288,3099850.81010652
291.6,3017996.03352547
295.2,2924384.27224067
298.8,2820491.86592183
302.4,2707957.29091267
306,2588555.3160532
309.6,2464169.00942778
313.2,2336760.03785355
316.8,2208337.72778622
320.4,2080927.37577132
324,1956538.30830784
327.6,1837132.19483921
331.2,1724592.11349104
334.8,1620692.85720717
338.4,1527072.94829183
342,1445208.80236117
345.6,1376391.44877262
349.2,1321706.17427428
352.799999999999,1282015.4105344
356.4,1257945.13510042
359.999999999999,1249875
