"angle","fre_sum","freq_diff","freq_1D","freq_2D"
0,12222.1561462656,-4545000,-2266388.92192687,2278611.07807313
3.6,12695.8368294258,-4514149.83361769,-2250726.99839413,2263422.83522356
7.2,14087.5849694554,-4421987.05287563,-2203949.73395309,2218037.31892254
10.8,16311.3520826567,-4269963.52110498,-2126826.08451116,2143137.43659382
14.4,19229.7197722616,-4060474.18744631,-2020622.23383702,2039851.95360929
18,22662.4978162823,-3796819.47747099,-1887078.48982735,1909740.98764363
21.6,26397.9960068627,-3483153.45376258,-1728377.72887786,1754775.72488472
25.2,30206.2622812926,-3124418.55078548,-1547106.14425209,1577312.40653339
28.8,33853.4563400336,-2726267.89779591,-1346207.22072794,1380060.67706797
32.4,37116.456789095,-2294976.43796677,-1128929.99058884,1166046.44737793
36,39796.78534104,-1837342.22831777,-898772.721488367,938569.506829407
39.6,41732.9746693706,-1360579.46070285,-659423.243016741,701156.217686112
43.2,42810.6044270941,-872204.876500169,-414697.136036537,457507.740463631
46.8,42969.3765574594,-379919.354575411,-168474.989008976,211444.365566435
50.4,42206.7871291244,108513.468313551,75360.1277213375,-33153.3405922131
54,40578.1658246506,585389.634706109,312983.90026538,-272405.734440729
57.6,38193.0824595612,1043186.43031484,540689.756387203,-502496.673927642
61.2,35208.3481673873,1474681.15318879,754944.750678089,-719736.402510702
64.8,31818.052812044,1873065.20684297,952441.629827506,-920623.577015462
68.4,28241.2663415046,2232051.70629971,1130146.48632061,-1101905.2199791
72,24708.1784805208,2545974.8855529,1285341.53201671,-1260633.35353619
75.6,21445.5491599911,2809879.72243258,1415662.63579629,-1394217.0866363
79.2,18662.3852407602,3019600.35031965,1519131.3677802,-1500468.98253944
82.8,16536.7447005906,3171826.00326797,1594181.37398428,-1577644.62928369
86.4,15204.4984215763,3264153.43902548,1639678.96872353,-1624474.47030195
90,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
93.6,15204.4984215763,3264251.70184726,1639728.10013442,-1624523.60171284
97.2,16536.7447005906,3172020.97924813,1594278.86197436,-1577742.11727377
100.8,18662.3852407602,3019888.96457051,1519275.67490563,-1500613.28966487
104.4,21445.5491599911,2810257.423335,1415851.48624749,-1394405.9370875
108,24708.1784805208,2546435.71653801,1285571.94750926,-1260863.76902874
111.6,28241.2663415046,2232588.39978759,1130414.83306455,-1102173.56672304
115.2,31818.052812044,1873669.29885671,952743.675834378,-920925.623022334
118.8,35208.3481673873,1475343.11683648,755275.732501932,-720067.384334545
122.4,38193.0824595614,1043895.82603431,541044.454246936,-502851.371787374
126,40578.1658246507,586135.274903084,313356.720363867,-272778.554539217
129.6,42206.7871291245,109283.593796704,75745.1904629142,-33538.4033337897
133.2,42969.3765574594,-379136.889144998,-168083.75629377,211053.132851229
