"angle","fre_sum","freq_diff","freq_1D","freq_2D"
0,12222.1561462656,-4545000,-2266388.92192687,2278611.07807313
3.6,12571.4766964838,-4522050.36730279,-2254739.44530315,2267310.92199964
7.2,13602.0067746872,-4453780.98121073,-2220089.48721802,2233691.49399271
10.8,15262.4757093079,-4341267.59622804,-2163002.56025937,2178265.03596867
14.4,17470.7826459906,-4186283.18740354,-2084406.20237877,2101876.98502476
18,20118.804626165,-3991270.07919682,-1985575.63728533,2005694.44191149
21.6,23078.7072480908,-3759301.546203,-1868111.41947746,1891190.12672555
25.2,26210.3690071278,-3494033.48392357,-1733911.55745822,1760121.92646535
28.8,29369.4624046199,-3199646.90308408,-1585138.72033973,1614508.18274435
32.4,32415.6954655242,-2880782.14497408,-1424183.22475428,1456598.9202198
36,35220.7088639489,-2542465.84569834,-1253622.5684172,1288843.27728114
39.6,37675.1469275421,-2190031.79203299,-1076178.32255273,1113853.46948027
43.2,39694.4739039724,-1829036.9089371,-894671.217516563,934365.691420536
46.8,41223.1866693255,-1465173.69707967,-711975.255205172,753198.441874497
50.4,42237.1765100826,-1104180.49667304,-530971.660081479,573208.836591562
54,42744.1093319359,-751750.990419819,-354503.440543942,397247.549875878
57.6,42781.8182993156,-413444.372765935,-185331.27723331,228113.095532625
61.2,42414.8276547055,-94597.6045301721,-26091.3884377333,68506.2160924388
64.8,41729.2434705903,199758.858671368,120744.051070979,-79014.8076003887
68.4,40826.349004115,464980.528625652,252903.438814883,-212077.089810768
72,39815.3227623313,696882.2760817,368348.799422016,-328533.476659684
75.6,38805.5513051618,891804.485115648,465305.018210405,-426499.466905243
79.2,37899.0328449566,1046670.91743364,542284.9751393,-504385.942294343
82.8,37183.3603583593,1159037.36463455,598110.362496455,-560927.002138095
86.4,36725.734695347,1227130.31247694,631928.023586146,-595202.288890799
90,36568.3914826245,1249875,643221.695741312,-606653.304258688
93.6,36725.734695347,1226912.42535039,631819.080022867,-595093.34532752
97.2,37183.3603583595,1158605.02659158,597894.193474971,-560710.833116612
100.8,37899.0328449564,1046030.94670347,541964.989774212,-504065.956929256
104.4,38805.5513051618,890966.974418982,464886.262862072,-426080.71155691
108,39815.3227623313,695860.433462533,367837.878112432,-328022.555350101
111.6,40826.3490041149,463790.469152506,252308.409078311,-211482.060074196
115.2,41729.2434705903,198419.350293044,120074.296881817,-78345.0534112271
118.8,42414.8276547055,-96065.436966365,-26825.3046558297,69240.1323105352
122.4,42781.8182993156,-415017.380665638,-186117.781183161,228899.599482477
126,42744.109331936,-753404.366508784,-355330.128588424,398074.23792036
129.6,42237.1765100826,-1105888.16622267,-531825.494856293,574062.671366375
133.2,41223.1866693255,-1466908.72912105,-712842.77122586,754065.957895186
136.8,39694.4739039724,-1830771.94097848,-895538.733537252,935233.207441224
140.4,37675.1469275421,-2191739.46158262,-1077032.15732754,1114707.30425508
144,35220.7088639489,-2544119.22178731,-1254449.25646168,1289669.96532563
147.6,32415.6954655242,-2882355.15287379,-1424969.72870413,1457385.42416966
151.2,29369.4624046199,-3201114.73552028,-1585872.63655783,1615242.09896245
154.8,26210.3690071278,-3495372.9923019,-1734581.31164738,1760791.68065451
158.4,23078.7072480908,-3760491.60567615,-1868706.44921403,1891785.15646212
162,20118.804626165,-3992291.92181599,-1986086.55859491,2006205.36322108
165.6,17470.7826459906,-4187120.6981002,-2084824.95772711,2102295.7403731
169.2,15262.4757093079,-4341907.56695821,-2163322.54562445,2178585.02133376
172.8,13602.0067746872,-4454213.31925369,-2220305.6562395,2233907.66301419
176.4,12571.4766964838,-4522268.25442935,-2254848.38886643,2267419.86556291
180,12222.1561462656,-4545000,-2266388.92192687,2278611.07807313
183.6,12571.4766964838,-4522050.36730279,-2254739.44530315,2267310.92199964
187.2,13602.0067746872,-4453780.98121072,-2220089.48721802,2233691.4939927
190.8,15262.4757093079,-4341267.59622803,-2163002.56025936,2178265.03596867
194.4,17470.7826459906,-4186283.18740353,-2084406.20237877,2101876.98502476
198,20118.8046261654,-3991270.07919681,-1985575.63728532,2005694.44191149
201.6,23078.7072480908,-3759301.54620299,-1868111.41947745,1891190.12672554
205.2,26210.3690071278,-3494033.48392355,-1733911.55745821,1760121.92646534
208.8,29369.4624046199,-3199646.90308407,-1585138.72033972,1614508.18274434
212.4,32415.6954655242,-2880782.14497407,-1424183.22475427,1456598.92021979
216,35220.7088639494,-2542465.84569832,-1253622.56841719,1288843.27728114
219.6,37675.1469275425,-2190031.79203297,-1076178.32255271,1113853.46948026
223.2,39694.4739039727,-1829036.90893708,-894671.217516552,934365.691420525
226.8,41223.1866693252,-1465173.69707965,-711975.25520516,753198.441874486
230.4,42237.1765100826,-1104180.49667302,-530971.660081468,573208.836591551
234,42744.1093319359,-751750.990419799,-354503.440543932,397247.549875867
237.6,42781.8182993156,-413444.372765919,-185331.277233302,228113.095532617
241.2,42414.8276547055,-94597.6045301586,-26091.3884377266,68506.216092432
244.8,41729.2434705903,199758.858671378,120744.051070984,-79014.8076003941
248.4,40826.3490041149,464980.528625659,252903.438814887,-212077.089810772
252,39815.3227623313,696882.276081705,368348.799422018,-328533.476659687
255.6,38805.5513051618,891804.485115651,465305.018210407,-426499.466905245
259.2,37899.0328449564,1046670.91743364,542284.9751393,-504385.942294344
262.8,37183.3603583593,1159037.36463455,598110.362496455,-560927.002138095
266.4,36725.734695347,1227130.31247694,631928.023586145,-595202.288890798
270,36568.3914826245,1249875,643221.695741312,-606653.304258688
273.6,36725.734695347,1226912.42535039,631819.080022868,-595093.345327521
277.2,37183.3603583593,1158605.02659159,597894.193474972,-560710.833116613
280.8,37899.0328449566,1046030.94670347,541964.989774215,-504065.956929258
