"angle","fre_sum","freq_diff","freq_1D","freq_2D"
0,36568.3914826245,1249875,643221.695741312,-606653.304258688
3.6,36513.9291109999,1257937.97025479,647225.949682894,-610712.020571894
7.2,36349.9157347486,1281999.75767364,659174.836704195,-622824.920969447
10.8,36074.575764664,1321680.99486261,678877.785313638,-642803.209548974
14.4,35685.2863775091,1376356.04686044,706020.666618976,-670335.380241467
18,35179.0565222926,1445162.8676058,740170.962064044,-704991.905541751
21.6,34553.147786109,1527016.58158717,780784.864686638,-746231.716900529
25.2,33805.7912807323,1620626.57732248,827216.184301604,-793410.393020872
28.8,32936.9469131783,1724516.84407757,878726.895495374,-845789.948582196
32.4,31949.0471111541,1837049.23216937,934499.139640261,-902550.092529107
36,30847.666583129,1956449.27110978,993648.468846455,-962800.802263326
39.6,29642.0630566638,2080834.13945675,1055238.10125671,-1025596.03820004
43.2,28345.5409665434,2208242.34618912,1118293.94357783,-1089948.40261129
46.8,26975.6003315561,2336664.65625645,1181820.128294,-1154844.52796245
50.4,25553.8459338774,2464075.77311321,1244814.80952354,-1219260.96358966
54,24105.6465987531,2588466.27885514,1306285.96272695,-1282180.31612819
57.6,22659.5499478295,2707874.32824283,1365266.93909533,-1342607.3891475
61.2,21246.4734904468,2820416.59650836,1420831.5349994,-1399585.06150896
64.8,19898.7073480212,2924317.99235598,1472108.349852,-1452209.64250398
68.4,18648.776364726,3017939.66682081,1518294.22159277,-1499645.44522804
72,17528.2190503646,3099804.87535116,1558666.54720076,-1541138.3281504
75.6,16566.3471060665,3168622.28422015,1592594.31566311,-1576027.96855704
79.2,15789.0517871194,3223306.35262556,1619547.70220634,-1603758.65041922
82.8,15217.721882212,3262994.46797197,1639106.09492709,-1623888.37304488
86.4,14868.3327042866,3287060.56311822,1650964.44791126,-1636096.11520697
90,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
93.6,14868.3327042866,3287060.56311822,1650964.44791126,-1636096.11520697
97.2,15217.721882212,3262994.46797197,1639106.09492709,-1623888.37304488
100.8,15789.0517871194,3223306.35262556,1619547.70220634,-1603758.65041922
104.4,16566.3471060665,3168622.28422015,1592594.31566311,-1576027.96855704
108,17528.2190503646,3099804.87535115,1558666.54720076,-1541138.3281504
111.6,18648.776364726,3017939.66682081,1518294.22159277,-1499645.44522804
115.2,19898.7073480212,2924317.99235598,1472108.349852,-1452209.64250398
118.8,21246.4734904468,2820416.59650836,1420831.5349994,-1399585.06150896
122.4,22659.5499478295,2707874.32824283,1365266.93909533,-1342607.3891475
126,24105.6465987531,2588466.27885514,1306285.96272695,-1282180.31612819
129.6,25553.8459338774,2464075.7731132,1244814.80952354,-1219260.96358966
133.2,26975.6003315561,2336664.65625644,1181820.128294,-1154844.52796244
136.8,28345.5409665434,2208242.34618912,1118293.94357783,-1089948.40261129
140.4,29642.063056664,2080834.13945675,1055238.10125671,-1025596.03820004
144,30847.666583129,1956449.27110978,993648.468846453,-962800.802263324
147.6,31949.0471111541,1837049.23216936,934499.139640259,-902550.092529105
151.2,32936.9469131783,1724516.84407757,878726.895495372,-845789.948582194
154.8,33805.7912807323,1620626.57732247,827216.184301603,-793410.393020871
158.4,34553.147786109,1527016.58158716,780784.864686637,-746231.716900528
162,35179.0565222926,1445162.86760579,740170.962064042,-704991.90554175
165.6,35685.2863775091,1376356.04686044,706020.666618975,-670335.380241466
169.2,36074.575764664,1321680.99486261,678877.785313637,-642803.209548973
172.8,36349.9157347486,1281999.75767364,659174.836704195,-622824.920969446
176.4,36513.9291109999,1257937.97025479,647225.949682894,-610712.020571894
180,36568.3914826245,1249875,643221.695741312,-606653.304258688
183.6,36513.9291109999,1257937.97025479,647225.949682894,-610712.020571894
187.2,36349.9157347486,1281999.75767364,659174.836704196,-622824.920969447
190.8,36074.575764664,1321680.99486261,678877.785313639,-642803.209548975
194.4,35685.2863775091,1376356.04686045,706020.666618978,-670335.380241468
