"angle","Frequency"
0,36568.3914826245
3.6,36471.8532275725
7.2,36184.2559835385
10.8,35711.5893902385
14.4,35063.6293818885
18,34253.6381339515
21.6,33297.9636789823
25.2,32215.5575216601
28.8,31027.4319708582
32.4,29756.0810652622
36,28424.8897886379
39.6,27057.5557230667
43.2,25677.5454279073
46.8,24307.6047929199
50.4,22969.3386002802
54,21682.8698042617
57.6,20466.5839019371
61.2,19336.9585481272
64.8,18308.4735889491
68.4,17393.5922575998
72,16602.8006620235
75.6,15944.6901104464
79.2,15426.0654126941
82.8,15052.0621310016
86.4,14826.2568208589
90,14750.7565075206
93.6,14826.2568208589
97.2,15052.0621310016
100.8,15426.0654126941
104.4,15944.6901104464
108,16602.8006620235
111.6,17393.5922575998
115.2,18308.4735889491
118.8,19336.9585481272
122.4,20466.5839019371
126,21682.8698042622
129.6,22969.3386002802
133.2,24307.6047929199
136.8,25677.5454279073
140.4,27057.5557230664
144,28424.8897886381
147.6,29756.0810652622
151.2,31027.4319708585
154.8,32215.5575216601
158.4,33297.9636789826
162,34253.6381339515
165.6,35063.6293818885
169.2,35711.5893902385
172.8,36184.2559835385
176.4,36471.8532275725
180,36568.3914826245
183.6,36471.8532275725
187.2,36184.2559835385
190.8,35711.5893902385
194.4,35063.6293818885
198,34253.6381339515
201.6,33297.9636789823
205.2,32215.5575216601
208.8,31027.4319708582
212.4,29756.081065262
216,28424.8897886379
219.6,27057.5557230664
223.2,25677.5454279073
226.8,24307.6047929199
230.4,22969.3386002802
234,21682.8698042617
237.6,20466.5839019371
241.2,19336.9585481272
244.8,18308.4735889491
248.4,17393.5922575998
252,16602.8006620235
255.6,15944.6901104464
259.2,15426.0654126941
262.8,15052.0621310016
266.4,14826.2568208589
270,14750.7565075206
273.6,14826.2568208589
277.2,15052.0621310016
280.8,15426.0654126941
284.4,15944.6901104464
288,16602.8006620235
291.6,17393.5922575998
295.2,18308.4735889491
298.8,19336.9585481272
302.4,20466.5839019371
306,21682.8698042617
309.6,22969.3386002802
313.2,24307.6047929199
316.8,25677.5454279073
320.4,27057.5557230662
324,28424.8897886379
327.6,29756.081065262
331.2,31027.4319708582
334.8,32215.5575216599
338.4,33297.9636789821
342,34253.6381339515
345.6,35063.6293818885
349.2,35711.5893902383
352.799999999999,36184.2559835382
356.4,36471.8532275725
359.999999999999,36568.3914826245
