"angle"	"Frequency"
0	5314.0625
3.6	5213.2617540122
7.2	4912.5427699897
10.8	4416.9228847411
14.4	3734.65712366928
18	2877.08044243627
21.6	1858.39282493852
25.2	695.39289772464
28.8	-592.833071213681
32.4	-1985.25898942654
36	-3459.29514591419
39.6	-4991.18406984536
43.2	-6556.40731059108
46.8	-8130.09470629413
50.4	-9687.42826665007
54	-11204.0335674365
57.6	-12656.3524842761
61.2	-14021.9921203749
64.8	-15280.0458453516
68.4	-16411.3833998106
72	-17398.9079790856
75.6	-18227.7790449299
79.2	-18885.6002928331
82.8	-19362.5727057969
86.4	-19651.6129476815
90	-19748.4375
93.6	-19651.6129476815
97.2	-19362.5727057969
100.8	-18885.6002928331
104.4	-18227.7790449299
108	-17398.9079790856
111.6	-16411.3833998106
115.2	-15280.0458453516
118.8	-14021.9921203749
122.4	-12656.3524842761
126	-11204.0335674365
129.6	-9687.42826665007
133.2	-8130.09470629413
136.8	-6556.40731059108
140.4	-4991.18406984536
144	-3459.29514591419
147.6	-1985.25898942654
151.2	-592.833071213681
154.8	695.39289772464
158.4	1858.39282493852
162	2877.08044243627
165.6	3734.65712366928
169.2	4416.92288474133
172.8	4912.5427699897
176.4	5213.2617540122
180	5314.0625
183.6	5213.2617540122
187.2	4912.5427699897
190.8	4416.9228847411
194.4	3734.65712366928
198	2877.08044243627
201.6	1858.39282493852
205.2	695.392897724407
208.8	-592.833071213681
212.4	-1985.25898942654
216	-3459.29514591419
219.6	-4991.18406984536
223.2	-6556.40731059108
226.8	-8130.09470629413
230.4	-9687.42826665007
234	-11204.0335674365
237.6	-12656.3524842761
241.2	-14021.9921203754
244.8	-15280.0458453516
248.4	-16411.3833998106
252	-17398.9079790856
255.6	-18227.7790449299
259.2	-18885.6002928331
262.8	-19362.5727057969
266.4	-19651.6129476815
270	-19748.4375
273.6	-19651.6129476815
277.2	-19362.5727057969
280.8	-18885.6002928331
284.4	-18227.7790449299
288	-17398.9079790856
291.6	-16411.3833998106
295.2	-15280.0458453516
298.8	-14021.9921203754
302.4	-12656.3524842761
306	-11204.0335674365
309.6	-9687.42826665007
313.2	-8130.09470629413
316.8	-6556.40731059108
320.4	-4991.18406984536
324	-3459.29514591419
327.6	-1985.25898942654
331.2	-592.833071214147
334.8	695.392897724407
338.4	1858.39282493829
342	2877.08044243627
345.6	3734.65712366928
349.2	4416.9228847411
352.799999999999	4912.5427699897
356.4	5213.2617540122
359.999999999999	5314.0625
