"angle","fre_sum","freq_diff","freq_1D","freq_2D"
0,12222.1561462656,-4545000,-2266388.92192687,2278611.07807313
3.6,12695.8368294258,-4514100.7022068,-2250702.43268869,2263398.26951811
7.2,14087.5849694554,-4421889.56488555,-2203900.98995805,2217988.5749275
10.8,16311.3520826567,-4269819.21397955,-2126753.93094845,2143065.2830311
14.4,19229.7197722616,-4060285.3369951,-2020527.80861142,2039757.52838368
18,22662.4978162823,-3796589.06197843,-1886963.28208107,1909625.77989736
21.6,26397.9960068627,-3482885.10701864,-1728243.55550589,1754641.55151275
25.2,30206.2622812926,-3124116.5047786,-1546955.12124865,1577161.38352995
28.8,33853.4563400336,-2725936.91597207,-1346041.72981602,1379895.18615605
32.4,37116.456789095,-2294621.74010703,-1128752.64165897,1165869.09844806
36,39796.78534104,-1836969.40821928,-898586.311439121,938383.096780161
39.6,41732.9746693706,-1360194.39796127,-659230.711645951,700963.686315321
43.2,42810.6044270941,-871813.643784958,-414501.519678932,457312.124106026
46.8,42969.3765574594,-379528.1218602,-168279.37265137,211248.74920883
50.4,42206.7871291244,108898.531055132,75552.659092128,-33345.8719630036
54,40578.1658246506,585762.4548046,313170.310314625,-272592.144489975
57.6,38193.0824595612,1043541.12817458,540867.105317071,-502674.02285751
61.2,35208.3481673873,1475012.13501264,755110.241590012,-719901.893422625
64.8,31818.052812044,1873367.25284984,952592.652830944,-920774.6000189
68.4,28241.2663415046,2232320.05304365,1130280.65969258,-1102039.39335107
72,24708.1784805208,2546205.30104545,1285456.73976299,-1260748.56128247
75.6,21445.5491599911,2810068.57288379,1415757.06102189,-1394311.5118619
79.2,18662.3852407602,3019744.65744508,1519203.52134292,-1500541.13610216
82.8,16536.7447005906,3171923.49125805,1594230.11797932,-1577693.37327873
86.4,15204.4984215763,3264202.57043637,1639703.53442897,-1624499.0360074
90,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
93.6,15204.4984215763,3264202.57043637,1639703.53442897,-1624499.0360074
97.2,16536.7447005906,3171923.49125805,1594230.11797932,-1577693.37327873
100.8,18662.3852407602,3019744.65744508,1519203.52134292,-1500541.13610216
104.4,21445.5491599911,2810068.57288379,1415757.06102189,-1394311.5118619
108,24708.1784805208,2546205.30104545,1285456.73976299,-1260748.56128246
111.6,28241.2663415046,2232320.05304365,1130280.65969258,-1102039.39335107
115.2,31818.052812044,1873367.25284984,952592.652830941,-920774.600018897
118.8,35208.3481673873,1475012.13501263,755110.241590009,-719901.893422622
122.4,38193.0824595613,1043541.12817457,540867.105317068,-502674.022857506
126,40578.1658246507,585762.454804593,313170.310314622,-272592.144489971
129.6,42206.7871291245,108898.531055123,75552.6590921237,-33345.8719629992
133.2,42969.3765574594,-379528.121860209,-168279.372651375,211248.749208834
136.8,42810.6044270941,-871813.643784967,-414501.519678937,457312.124106031
140.4,41732.9746693706,-1360194.39796128,-659230.711645956,700963.686315327
144,39796.78534104,-1836969.4082193,-898586.311439128,938383.096780168
147.6,37116.456789095,-2294621.74010705,-1128752.64165898,1165869.09844807
151.2,33853.4563400331,-2725936.91597208,-1346041.72981602,1379895.18615606
154.8,30206.2622812926,-3124116.50477861,-1546955.12124866,1577161.38352995
158.4,26397.9960068627,-3482885.10701865,-1728243.55550589,1754641.55151276
162,22662.4978162823,-3796589.06197844,-1886963.28208108,1909625.77989736
165.6,19229.7197722616,-4060285.33699511,-2020527.80861142,2039757.52838369
169.2,16311.3520826558,-4269819.21397955,-2126753.93094845,2143065.2830311
172.8,14087.5849694554,-4421889.56488556,-2203900.98995805,2217988.57492751
176.4,12695.8368294258,-4514100.7022068,-2250702.43268869,2263398.26951811
180,12222.1561462656,-4545000,-2266388.92192687,2278611.07807313
183.6,12695.8368294267,-4514100.7022068,-2250702.43268868,2263398.26951811
187.2,14087.5849694554,-4421889.56488555,-2203900.98995805,2217988.5749275
190.8,16311.3520826567,-4269819.21397954,-2126753.93094844,2143065.2830311
194.4,19229.7197722616,-4060285.33699509,-2020527.80861142,2039757.52838368
198,22662.4978162823,-3796589.06197842,-1886963.28208107,1909625.77989735
201.6,26397.9960068632,-3482885.10701862,-1728243.55550588,1754641.55151274
205.2,30206.262281293,-3124116.50477858,-1546955.12124864,1577161.38352994
208.8,33853.4563400331,-2725936.91597205,-1346041.72981601,1379895.18615604
212.4,37116.456789095,-2294621.74010701,-1128752.64165896,1165869.09844805
216,39796.7853410402,-1836969.40821926,-898586.311439108,938383.096780148
219.6,41732.9746693706,-1360194.39796124,-659230.711645937,700963.686315307
223.2,42810.6044270941,-871813.643784929,-414501.519678917,457312.124106011
226.8,42969.3765574592,-379528.121860169,-168279.372651355,211248.749208814
230.4,42206.7871291243,108898.531055162,75552.6590921431,-33345.8719630187
234,40578.1658246504,585762.454804627,313170.310314639,-272592.144489989
237.6,38193.0824595611,1043541.1281746,540867.105317082,-502674.022857521
241.2,35208.3481673873,1475012.13501266,755110.241590021,-719901.893422634
244.8,31818.0528120438,1873367.25284986,952592.652830951,-920774.600018907
248.4,28241.2663415046,2232320.05304366,1130280.65969258,-1102039.39335108
252,24708.1784805204,2546205.30104546,1285456.73976299,-1260748.56128247
255.6,21445.5491599911,2810068.5728838,1415757.06102189,-1394311.5118619
259.2,18662.3852407602,3019744.65744508,1519203.52134292,-1500541.13610216
262.8,16536.7447005906,3171923.49125805,1594230.11797932,-1577693.37327873
266.4,15204.4984215763,3264202.57043637,1639703.53442897,-1624499.0360074
270,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
273.6,15204.4984215763,3264202.57043637,1639703.53442897,-1624499.0360074
277.2,16536.7447005906,3171923.49125806,1594230.11797932,-1577693.37327873
280.8,18662.3852407602,3019744.65744508,1519203.52134292,-1500541.13610216
284.4,21445.5491599911,2810068.5728838,1415757.06102189,-1394311.5118619
288,24708.1784805204,2546205.30104546,1285456.73976299,-1260748.56128247
291.6,28241.2663415046,2232320.05304367,1130280.65969259,-1102039.39335108
295.2,31818.0528120438,1873367.25284986,952592.652830952,-920774.600018908
298.8,35208.3481673873,1475012.13501266,755110.241590022,-719901.893422635
302.4,38193.0824595611,1043541.12817461,540867.105317084,-502674.022857522
306,40578.1658246504,585762.45480463,313170.31031464,-272592.14448999
309.6,42206.7871291243,108898.531055165,75552.6590921448,-33345.8719630205
313.2,42969.3765574593,-379528.121860163,-168279.372651352,211248.749208811
316.8,42810.6044270941,-871813.643784918,-414501.519678912,457312.124106006
320.4,41732.9746693706,-1360194.39796123,-659230.71164593,700963.686315301
324,39796.7853410402,-1836969.40821924,-898586.3114391,938383.09678014
327.6,37116.4567890954,-2294621.74010699,-1128752.64165895,1165869.09844804
331.2,33853.4563400336,-2725936.91597203,-1346041.729816,1379895.18615603
334.8,30206.262281293,-3124116.50477856,-1546955.12124863,1577161.38352993
338.4,26397.9960068632,-3482885.1070186,-1728243.55550587,1754641.55151273
342,22662.4978162828,-3796589.0619784,-1886963.28208106,1909625.77989734
345.6,19229.719772262,-4060285.33699507,-2020527.80861141,2039757.52838367
349.2,16311.3520826567,-4269819.21397952,-2126753.93094843,2143065.28303109
352.799999999999,14087.5849694554,-4421889.56488554,-2203900.98995804,2217988.5749275
356.4,12695.8368294267,-4514100.70220679,-2250702.43268868,2263398.26951811
359.999999999999,12222.1561462656,-4545000,-2266388.92192687,2278611.07807313
