"angle","fre_sum","freq_diff","freq_1D","freq_2D"
0,36568.3914826245,1249875,643221.695741312,-606653.304258688
3.6,36471.8532275725,1257935.85906973,647203.856148653,-610732.00292108
7.2,36184.2559835385,1281996.47378264,659090.364883089,-622906.10889955
10.8,35711.5893902385,1321677.46768691,678694.528538576,-642982.939148338
14.4,35063.6293818885,1376353.14575456,705708.387568222,-670644.758186334
18,34253.6381339515,1445161.35602286,739707.497078407,-705453.858944455
21.6,33297.9636789823,1527017.07896448,780157.521321729,-746859.557642746
25.2,32215.5575216601,1620629.53071517,826422.544118416,-794206.986596756
28.8,31027.4319708582,1724522.51093656,877774.971453711,-846747.539482852
32.4,29756.0810652622,1837057.6749533,933406.878009283,-903650.796944021
36,28424.8897886379,1956460.36368545,992442.626737045,-964017.736948407
39.6,27057.5557230667,2080847.58452328,1053952.57012317,-1026895.01440011
43.2,25677.5454279073,2208257.70230309,1116967.6238655,-1091290.07843759
46.8,24307.6047929199,2336681.372478,1180494.48863546,-1156186.88384254
50.4,22969.3386002802,2464093.22887029,1243531.28373528,-1220561.945135
54,21682.8698042617,2588483.82635915,1305083.34808171,-1283400.47827744
57.6,20466.5839019371,2707891.33469822,1364178.95930008,-1343712.37539814
61.2,19336.9585481272,2820432.48344441,1419884.72099627,-1400547.76244814
64.8,18308.4735889491,2924332.2696632,1471320.37162607,-1453011.89803712
68.4,17393.5922575998,3017951.95947818,1517672.77586789,-1500279.18361029
72,16602.8006620235,3099814.94135669,1558208.87100936,-1541606.07034734
75.6,15944.6901104464,3168630.02284928,1592287.35647986,-1576342.66636942
79.2,15426.0654126941,3223311.80280043,1619368.93410656,-1603942.86869387
82.8,15052.0621310016,3262997.79718574,1639024.92965837,-1623972.86752737
86.4,14826.2568208589,3287062.047979,1650944.15239993,-1636117.89557907
90,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
93.6,14826.2568208589,3287059.48965928,1650942.87324007,-1636116.61641921
97.2,15052.0621310016,3262992.75096305,1639022.40654703,-1623970.34441602
100.8,15426.0654126941,3223304.4070935,1619365.2362531,-1603939.1708404
104.4,15944.6901104464,3168620.47933448,1592282.58472246,-1576337.89461202
108,16602.8006620235,3099803.50806161,1558203.15436182,-1541600.3536998
111.6,17393.5922575998,3017938.94195683,1517666.26710721,-1500272.67484961
115.2,18308.4735889491,2924318.01056416,1471313.24207656,-1453004.76848761
118.8,19336.9585481272,2820417.35084007,1419877.1546941,-1400540.19614597
122.4,20466.5839019371,2707875.70958649,1364171.14674421,-1343704.56284228
126,21682.8698042622,2588468.08977851,1305075.47979139,-1283392.60998713
129.6,22969.3386002802,2464077.74908202,1243523.54384115,-1220554.20524087
133.2,24307.6047929199,2336666.49266711,1180487.04873001,-1156179.44393709
136.8,25677.5454279073,2208243.72923058,1116960.63732924,-1091283.09190134
140.4,27057.5557230664,2080834.77852872,1053946.16712589,-1026888.61140283
