"angle","Frequency"
0,-606653.304258688
3.6,-610730.245137125
7.2,-622902.961718711
10.8,-642978.803174689
14.4,-670640.050908358
18,-705448.99887591
21.6,-746854.948503041
25.2,-794203.002095169
28.8,-846744.509249233
32.4,-903648.994107654
36,-964017.367808008
39.6,-1026896.21055347
43.2,-1091292.89165192
46.8,-1156191.28384905
50.4,-1220567.82042735
54,-1283407.63988677
57.6,-1343720.5635118
61.2,-1400556.65563776
64.8,-1453021.12476914
68.4,-1500288.33563066
72,-1541614.71746534
75.6,-1576350.37211562
79.2,-1603949.20629589
82.8,-1623977.43563542
86.4,-1636120.33318191
90,-1640187.12174624
93.6,-1636113.93738262
97.2,-1623964.82007871
100.8,-1603930.71702856
104.4,-1576326.51332862
108,-1541586.13422765
111.6,-1500255.79182728
115.2,-1452985.47702156
118.8,-1400518.8241269
122.4,-1343681.50073248
126,-1283368.29843518
129.6,-1220529.12095669
133.2,-1156154.08432183
136.8,-1091257.95897067
140.4,-1026864.19556707
144,-963988.784570312
147.6,-903624.204114083
151.2,-846723.71120014
154.8,-794186.227538451
158.4,-746842.063499768
162,-705439.711619
165.6,-670633.925013044
169.2,-642975.276158315
172.8,-622901.368003272
176.4,-610729.84274754
180,-606653.304258688
183.6,-610736.238546838
187.2,-622913.983559989
190.8,-642993.765425642
194.4,-670657.783800048
198,-705468.294856697
201.6,-746874.607303152
205.2,-794221.875286035
208.8,-846761.542710998
212.4,-903663.266893404
216,-964028.126021907
219.6,-1026902.89503773
223.2,-1091295.1584979
226.8,-1156189.01700308
230.4,-1220561.13594309
234,-1283396.88167288
237.6,-1343706.29072605
241.2,-1400539.622176
244.8,-1453002.25157828
248.4,-1500268.67683055
252,-1541595.42148456
255.6,-1576332.63922394
259.2,-1603934.24404493
262.8,-1623966.41379415
266.4,-1636114.3397722
270,-1640187.12174624
273.6,-1636120.7355715
277.2,-1623979.02935086
280.8,-1603952.73331226
284.4,-1576356.49801094
288,-1541624.00472225
291.6,-1500301.22063393
295.2,-1453037.89932586
298.8,-1400577.45368685
302.4,-1343745.35350537
306,-1283436.22312447
309.6,-1220599.83541375
313.2,-1156226.21653031
316.8,-1091330.09117916
320.4,-1026934.91002413
324,-964056.709259603
327.6,-903688.056886976
331.2,-846782.340760092
334.8,-794238.649842754
338.4,-746887.492306426
342,-705477.582113608
345.6,-670663.909695364
349.2,-642997.292442019
352.799999999999,-622915.57727543
356.4,-610736.640936423
359.999999999999,-606653.304258688
