"angle","fre_sum","freq_diff","freq_1D","freq_2D"
0,36568.3914826245,1249875,643221.695741312,-606653.304258688
3.6,36471.8532275725,1257920.75907198,647196.306149778,-610724.452922206
7.2,36184.2559835385,1281969.72945384,659076.992718691,-622892.736735152
10.8,35711.5893902385,1321642.79825409,678677.193822163,-642965.604431924
14.4,35063.6293818885,1376314.39131054,705689.010346215,-670625.380964327
18,34253.6381339515,1445122.33118111,739687.984657531,-705434.34652358
21.6,33297.9636789823,1526981.42808812,780139.695883549,-746841.732204567
25.2,32215.5575216601,1620600.58988699,826408.073704324,-794192.516182664
28.8,31027.4319708582,1724503.18159489,877765.306782875,-846737.874812016
32.4,29756.0810652622,1837050.31370265,933403.197383955,-903647.116318693
36,28424.8897886379,1956466.69221455,992445.791001596,-964020.901212958
39.6,27057.5557230664,2080868.62284788,1053963.08928548,-1026905.53356241
43.2,25677.5454279073,2208293.72772106,1116985.63657448,-1091308.09114658
46.8,24307.6047929199,2336731.9057102,1180519.75525156,-1156212.15045864
50.4,22969.3386002802,2464157.04789414,1243563.19324721,-1220593.85464693
54,21682.8698042617,2588559.00745719,1305120.93863073,-1283438.06882646
57.6,20466.5839019371,2707975.31927634,1364220.95158914,-1343754.3676872
61.2,19336.9585481272,2820522.16825802,1419929.56340307,-1400592.60485495
64.8,18308.4735889491,2924424.11725654,1471366.29542274,-1453057.82183379
68.4,17393.5922575998,3018042.12492252,1517717.85859006,-1500324.26633246
72,16602.8006620235,3099899.41079197,1558251.105727,-1541648.30506497
75.6,15944.6901104464,3168704.75891207,1592324.72451126,-1576380.03440081
79.2,15426.0654126941,3223372.8917737,1619399.4785932,-1603973.4131805
82.8,15052.0621310016,3263041.59264112,1639046.82738606,-1623994.76525506
86.4,14826.2568208589,3287085.3058034,1650955.78131213,-1636129.52449127
90,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
93.6,14826.2568208589,3287034.13940903,1650930.19811494,-1636103.94129409
97.2,15052.0621310016,3262940.66818739,1638996.36515919,-1623944.30302819
100.8,15426.0654126941,3223224.97763509,1619325.52152389,-1603899.4561112
104.4,15944.6901104464,3168513.88861606,1592229.28936325,-1576284.59925281
108,16602.8006620235,3099670.74489042,1558136.77277622,-1541533.9721142
111.6,17393.5922575998,3017781.77449548,1517587.68337654,-1500194.09111894
115.2,18308.4735889491,2924138.9352759,1471223.70443242,-1452915.23084347
118.8,19336.9585481272,2820219.51617119,1419778.23735966,-1400441.27881153
122.4,20466.5839019371,2707662.81704181,1364064.70047187,-1343598.11656993
126,21682.8698042622,2588244.27584447,1304963.57282436,-1283280.7030201
129.6,22969.3386002802,2463847.4521289,1243408.39536459,-1220439.05676431
133.2,24307.6047929199,2336434.30949238,1180370.95714265,-1156063.35234973
136.8,25677.5454279073,2208014.26627103,1116845.90584947,-1091168.36042156
140.4,27057.5557230666,2080612.50295671,1053835.02933989,-1026777.47361682
144,28424.8897886381,1956238.026313,992331.45805082,-963906.568262182
147.6,29756.0810652622,1836851.99375409,933304.037409674,-903547.956344412
151.2,31027.4319708585,1724336.79720216,877682.114586508,-846654.68261565
154.8,32215.5575216601,1620466.39343325,826340.975477456,-794125.417955796
158.4,33297.9636789826,1526878.34806194,780088.155870464,-746790.192191481
162,34253.6381339515,1445048.03312584,739650.835629895,-705397.197495944
165.6,35063.6293818885,1376265.38414803,705664.506764961,-670600.877383073
169.2,35711.5893902385,1321614.58212309,678663.085756666,-642951.496366427
172.8,36184.2559835385,1281956.97973033,659070.617856935,-622886.361873397
176.4,36471.8532275725,1257917.53995531,647194.69659144,-610722.843363867
180,36568.3914826245,1249875,643221.695741312,-606653.304258688
183.6,36471.8532275725,1257955.91475109,647213.88398933,-610742.030761757
187.2,36184.2559835385,1282032.67307063,659108.464527086,-622924.208543548
190.8,35711.5893902385,1321725.51772705,678718.553558646,-643006.964168408
194.4,35063.6293818885,1376408.53687005,705736.083125968,-670672.45374408
198,34253.6381339515,1445219.53255201,739736.585342979,-705482.947209028
201.6,33297.9636789823,1527073.61088223,780185.787280608,-746887.823601626
205.2,32215.5575216601,1620680.27991874,826447.918720199,-794232.361198539
208.8,31027.4319708582,1724563.78626729,877795.609119073,-846768.177148214
212.4,29756.081065262,1837086.37042999,933421.225747628,-903665.144682366
216,28424.8897886379,1956474.07502255,992449.482405595,-964024.592616957
219.6,27057.5557230664,2080844.69978065,1053951.12775186,-1026893.57202879
223.2,25677.5454279073,2208237.4634344,1116957.50443116,-1091279.95900325
226.8,24307.6047929199,2336643.90557991,1180475.75518642,-1156168.1503935
230.4,22969.3386002802,2464039.54204729,1243504.44032379,-1220535.10172351
234,21682.8698042617,2588415.77527064,1305049.32253745,-1283366.45273319
237.6,20466.5839019371,2707811.55700323,1364139.07045258,-1343672.48655065
241.2,19336.9585481272,2820344.30446574,1419840.63150694,-1400503.67295881
244.8,18308.4735889491,2924239.5826162,1471274.02810258,-1452965.55451363
248.4,17393.5922575998,3017859.08451511,1517626.33838635,-1500232.74612875
252,16602.8006620235,3099726.46843187,1558164.63454695,-1541561.83388492
255.6,15944.6901104464,3168550.64398794,1592247.66704919,-1576302.97693875
259.2,15426.0654126941,3223246.13973333,1619336.10257301,-1603910.03716032
262.8,15052.0621310016,3262950.23048002,1639001.14630551,-1623949.08417451
266.4,14826.2568208589,3287036.55374654,1650931.4052837,-1636105.14846284
270,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
273.6,14826.2568208589,3287087.72014091,1650956.98848088,-1636130.73166003
277.2,15052.0621310016,3263051.15493375,1639051.60853238,-1623999.54640138
280.8,15426.0654126941,3223394.05387194,1619410.05964232,-1603983.99422962
284.4,15944.6901104464,3168741.51428395,1592343.1021972,-1576398.41208675
288,16602.8006620235,3099955.13433342,1558278.96749772,-1541676.1668357
291.6,17393.5922575998,3018119.43494215,1517756.51359988,-1500362.92134228
295.2,18308.4735889491,2924524.76459684,1471416.6190929,-1453108.14550395
298.8,19336.9585481272,2820646.95655257,1419991.95755035,-1400654.99900222
302.4,20466.5839019371,2708124.05923776,1364295.32156985,-1343828.73766791
306,21682.8698042617,2588730.50688336,1305206.68834381,-1283523.81853955
