"angle","fre_sum","freq_diff","freq_1D","freq_2D"
0,36568.3914826245,1249875,643221.695741312,-606653.304258688
3.6,36471.8532275725,1257938.33691154,647205.095069554,-610733.241841981
7.2,36184.2559835385,1282001.20126224,659092.728622888,-622908.47263935
10.8,35711.5893902385,1321684.15799057,678697.873690404,-642986.284300165
14.4,35063.6293818885,1376361.46409029,705712.546736091,-670648.917354203
18,34253.6381339515,1445170.93186656,739712.285000254,-705458.646866303
21.6,33297.9636789823,1527027.51948517,780162.741582078,-746864.777903095
25.2,32215.5575216601,1620640.43490286,826427.996212261,-794212.438690601
28.8,31027.4319708582,1724533.48393109,877780.457950972,-846753.025980114
32.4,29756.0810652622,1837068.34206632,933412.21156579,-903656.130500528
36,28424.8897886379,1956470.38361855,992447.636703594,-964022.746914956
39.6,27057.5557230666,2080856.66131426,1053957.10851866,-1026899.5527956
43.2,25677.5454279073,2208265.59557773,1116971.57050282,-1091294.02507491
46.8,24307.6047929199,2336687.90564506,1180497.75521899,-1156190.15042607
50.4,22969.3386002802,2464098.29497072,1243533.8167855,-1220564.47818522
54,21682.8698042617,2588487.39136391,1305085.13058409,-1283402.26077982
57.6,20466.5839019371,2707893.43813978,1364180.01102086,-1343713.42711892
61.2,19336.9585481272,2820433.23636188,1419885.097455,-1400548.13890688
64.8,18308.4735889491,2924331.84993637,1471320.16176266,-1453011.68817371
68.4,17393.5922575998,3017950.60471882,1517672.09848821,-1500278.50623061
72,16602.8006620235,3099812.93961192,1558207.87013697,-1541605.06947495
75.6,15944.6901104464,3168627.70145,1592286.19578023,-1576341.50566978
79.2,15426.0654126941,3223309.51575352,1619367.7905831,-1603941.72517041
82.8,15052.0621310016,3262995.91156057,1639023.98684579,-1623971.92471478
86.4,14826.2568208589,3287060.92977497,1650943.59329791,-1636117.33647706
90,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
93.6,14826.2568208589,3287060.92977497,1650943.59329791,-1636117.33647706
97.2,15052.0621310016,3262995.91156057,1639023.98684579,-1623971.92471478
100.8,15426.0654126941,3223309.51575351,1619367.7905831,-1603941.72517041
104.4,15944.6901104464,3168627.70145,1592286.19578023,-1576341.50566978
108,16602.8006620235,3099812.93961192,1558207.87013697,-1541605.06947495
111.6,17393.5922575998,3017950.60471881,1517672.09848821,-1500278.50623061
115.2,18308.4735889491,2924331.84993637,1471320.16176266,-1453011.68817371
118.8,19336.9585481272,2820433.23636188,1419885.097455,-1400548.13890687
122.4,20466.5839019371,2707893.43813978,1364180.01102086,-1343713.42711892
126,21682.8698042622,2588487.39136391,1305085.13058409,-1283402.26077982
129.6,22969.3386002802,2464098.29497071,1243533.8167855,-1220564.47818522
133.2,24307.6047929199,2336687.90564505,1180497.75521899,-1156190.15042607
136.8,25677.5454279073,2208265.59557772,1116971.57050282,-1091294.02507491
140.4,27057.5557230666,2080856.66131426,1053957.10851866,-1026899.5527956
144,28424.8897886381,1956470.38361855,992447.636703592,-964022.746914954
147.6,29756.0810652622,1837068.34206631,933412.211565788,-903656.130500526
151.2,31027.4319708585,1724533.48393108,877780.457950971,-846753.025980112
154.8,32215.5575216601,1620640.43490286,826427.996212259,-794212.438690599
158.4,33297.9636789826,1527027.51948517,780162.741582077,-746864.777903094
162,34253.6381339515,1445170.93186655,739712.285000253,-705458.646866302
165.6,35063.6293818885,1376361.46409029,705712.54673609,-670648.917354202
169.2,35711.5893902385,1321684.15799057,678697.873690403,-642986.284300165
172.8,36184.2559835385,1282001.20126224,659092.728622888,-622908.472639349
176.4,36471.8532275725,1257938.33691153,647205.095069553,-610733.241841981
180,36568.3914826245,1249875,643221.695741312,-606653.304258688
183.6,36471.8532275725,1257938.33691154,647205.095069554,-610733.241841982
187.2,36184.2559835385,1282001.20126224,659092.728622889,-622908.47263935
190.8,35711.5893902385,1321684.15799057,678697.873690405,-642986.284300166
194.4,35063.6293818885,1376361.4640903,705712.546736092,-670648.917354204
198,34253.6381339515,1445170.93186656,739712.285000256,-705458.646866305
201.6,33297.9636789823,1527027.51948518,780162.74158208,-746864.777903098
205.2,32215.5575216601,1620640.43490287,826427.996212263,-794212.438690603
208.8,31027.4319708582,1724533.48393109,877780.457950975,-846753.025980117
212.4,29756.081065262,1837068.34206632,933412.211565793,-903656.130500531
216,28424.8897886379,1956470.38361856,992447.636703597,-964022.746914959
219.6,27057.5557230664,2080856.66131427,1053957.10851867,-1026899.5527956
223.2,25677.5454279073,2208265.59557773,1116971.57050282,-1091294.02507491
226.8,24307.6047929199,2336687.90564506,1180497.75521899,-1156190.15042607
230.4,22969.3386002802,2464098.29497072,1243533.8167855,-1220564.47818522
234,21682.8698042617,2588487.39136392,1305085.13058409,-1283402.26077983
237.6,20466.5839019371,2707893.43813979,1364180.01102086,-1343713.42711893
241.2,19336.9585481272,2820433.23636188,1419885.09745501,-1400548.13890688
244.8,18308.4735889491,2924331.84993637,1471320.16176266,-1453011.68817371
248.4,17393.5922575998,3017950.60471882,1517672.09848821,-1500278.50623061
252,16602.8006620235,3099812.93961192,1558207.87013697,-1541605.06947495
255.6,15944.6901104464,3168627.70145001,1592286.19578023,-1576341.50566978
259.2,15426.0654126941,3223309.51575352,1619367.7905831,-1603941.72517041
262.8,15052.0621310016,3262995.91156057,1639023.98684579,-1623971.92471478
266.4,14826.2568208589,3287060.92977497,1650943.59329791,-1636117.33647706
270,14750.7565075206,3295125,1654937.87825376,-1640187.12174624
273.6,14826.2568208589,3287060.92977497,1650943.59329791,-1636117.33647706
277.2,15052.0621310016,3262995.91156057,1639023.98684579,-1623971.92471478
280.8,15426.0654126941,3223309.51575352,1619367.79058311,-1603941.72517041
284.4,15944.6901104464,3168627.70145001,1592286.19578023,-1576341.50566978
288,16602.8006620235,3099812.93961192,1558207.87013697,-1541605.06947495
291.6,17393.5922575998,3017950.60471882,1517672.09848821,-1500278.50623061
295.2,18308.4735889491,2924331.84993637,1471320.16176266,-1453011.68817371
298.8,19336.9585481272,2820433.23636188,1419885.09745501,-1400548.13890688
302.4,20466.5839019371,2707893.43813979,1364180.01102086,-1343713.42711893
306,21682.8698042617,2588487.39136392,1305085.13058409,-1283402.26077983
309.6,22969.3386002802,2464098.29497072,1243533.8167855,-1220564.47818522
313.2,24307.6047929199,2336687.90564506,1180497.75521899,-1156190.15042607
316.8,25677.5454279073,2208265.59557774,1116971.57050282,-1091294.02507492
320.4,27057.5557230662,2080856.66131427,1053957.10851867,-1026899.5527956
324,28424.8897886379,1956470.38361856,992447.636703599,-964022.746914961
327.6,29756.081065262,1837068.34206633,933412.211565795,-903656.130500533
331.2,31027.4319708582,1724533.4839311,877780.457950978,-846753.025980119
334.8,32215.5575216599,1620640.43490287,826427.996212266,-794212.438690606
338.4,33297.9636789821,1527027.51948518,780162.741582083,-746864.7779031
342,34253.6381339515,1445170.93186657,739712.285000259,-705458.646866307
345.6,35063.6293818885,1376361.4640903,705712.546736095,-670648.917354206
349.2,35711.5893902383,1321684.15799058,678697.873690407,-642986.284300169
352.799999999999,36184.2559835382,1282001.20126224,659092.72862289,-622908.472639352
356.4,36471.8532275725,1257938.33691154,647205.095069555,-610733.241841982
359.999999999999,36568.3914826245,1249875,643221.695741312,-606653.304258688
